error_message,input_borough,input_hnum,input_street,uid
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,545,CLARKSON AVE,302079738
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,657A,QUINCY STREET,302082261
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,585,DEAN STREET,302092919
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,363,UNION AVENUE,302152890
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,576,FOURTH AVENUE,302155049
ADDRESS NUMBER OUT OF RANGE ,Bronx,5104B,POST ROAD,220629103
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1906,84 STREET,302182386
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2845,BRIGHTON 6 STREET,302222262
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,750,PACIFIC STREET,302255976
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1270,RUBY STREET,302295601
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1361,BLAKE AVENUE,302291650
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,193,FLATBUSH AVENUE,302299634
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,618,PACIFIC STREET,302299625
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,626,PACIFIC STREET,302299616
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,184,SCHOLES STREET,302316401
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,3707,15 AVENUE,302316688
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,169,57 STREET,302327738
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,37,NEVINS STREET,302348582
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,154,MYRTLE AVENUE,302362529
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,327,EVERGREEN AVENUE,302392355
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,718,57 STREET,310069314
ADDRESS NUMBER OUT OF RANGE ,Queens,146-43,230 PLACE,401058859
ADDRESS NUMBER OUT OF RANGE ,Queens,43-02,57 AVENUE,401057333
ADDRESS NUMBER OUT OF RANGE ,Queens,24-50,95 STREET,401058591
ADDRESS NUMBER OUT OF RANGE ,Queens,146-43,230 PLACE,401058804
ADDRESS NUMBER OUT OF RANGE ,Queens,24-50,95 STREET,401058582
ADDRESS NUMBER OUT OF RANGE ,Queens,67-12,73 PLACE,401101632
ADDRESS NUMBER OUT OF RANGE. CORRECT DIGITS OR TRY 3 OR 327 ,Queens,3-27,BEACH 84 STREET,401106352
ADDRESS NUMBER OUT OF RANGE ,Queens,87-24,LEFFERTS BOULEVARD,401107887
ADDRESS NUMBER OUT OF RANGE ,Queens,63-02,VAN WYCK EXPRESSWAY,401106511
ADDRESS NUMBER OUT OF RANGE ,Queens,459,BEACH 37 STREET,401113825
ADDRESS NUMBER OUT OF RANGE ,Queens,55-42,84 STREET,401119909
ADDRESS NUMBER OUT OF RANGE ,Queens,67-10,73 PLACE,401117108
ADDRESS NUMBER OUT OF RANGE ,Queens,155-02,SOUTH ROAD,401124298
'BISTEST STREET' NOT RECOGNIZED. THERE ARE 005 SIMILAR NAMES. ,Manhattan,1,BISTEST STREET,166003042
ADDRESS NUMBER OUT OF RANGE ,Queens,83-11,31 AVENUE,401202523
ADDRESS NUMBER OUT OF RANGE ,Queens,83-11,31 AVENUE,401202532
ADDRESS NUMBER OUT OF RANGE ,Queens,57-76,XENIA STREET,401230985
ADDRESS NUMBER OUT OF RANGE ,Queens,170-22,93 AVENUE,401429502
ADDRESS NUMBER OUT OF RANGE ,Queens,133-47,37 AVENUE,401425793
ADDRESS NUMBER OUT OF RANGE ,Queens,179-14,80 DRIVE,401425748
ADDRESS NUMBER OUT OF RANGE ,Queens,119,BEACH 91 STREET,401632471
ADDRESS NUMBER OUT OF RANGE ,Queens,10,SUMMIT COURT,401648972
ADDRESS NUMBER OUT OF RANGE ,Queens,140-02,GUY R BREWER BOULEVARD,401647679
ADDRESS NUMBER OUT OF RANGE ,Queens,108-02,ATLANTIC AVENUE,401647651
ADDRESS NUMBER OUT OF RANGE ,Queens,10,SUMMIT COURT,401648286
ADDRESS NUMBER OUT OF RANGE ,Queens,66-52A,80 STREET,401705259
ADDRESS NUMBER OUT OF RANGE ,Queens,66-52 REAR,80 STREET,401705516
ADDRESS NUMBER OUT OF RANGE ,Queens,80-54,COOPER AVENUE,401822523
ADDRESS NUMBER OUT OF RANGE ,Queens,12-13,BEACH 25 STREET,402021432
ADDRESS NUMBER OUT OF RANGE ,Queens,4-21,44 AVENUE,402073518
ADDRESS NUMBER OUT OF RANGE ,Queens,9-44,120 STREET,402085060
ADDRESS NUMBER OUT OF RANGE ,Queens,9-44,120 STREET,402085079
ADDRESS NUMBER OUT OF RANGE ,Queens,14-40,161 STREET,402089477
ADDRESS NUMBER OUT OF RANGE ,Queens,14-40,161 STREET,402089468
ADDRESS NUMBER OUT OF RANGE ,Queens,129-22,145 STREET,402163243
ADDRESS NUMBER OUT OF RANGE ,Queens,325A,BEACH 101 STREET,402167622
ADDRESS NUMBER OUT OF RANGE ,Queens,325A,BEACH 101 STREET,402167631
ADDRESS NUMBER OUT OF RANGE ,Queens,107-50,134 STREET,402183347
ADDRESS NUMBER OUT OF RANGE ,Manhattan,813,EAST 15 STREET,102859266
ADDRESS NUMBER OUT OF RANGE ,Queens,29-51,215 STREET,402205591
ADDRESS NUMBER OUT OF RANGE ,Queens,518,SEAGIRT AVENUE,402204020
ADDRESS NUMBER OUT OF RANGE ,Queens,1116A,NEILSON STREET,402212823
ADDRESS NUMBER OUT OF RANGE ,Queens,1118A,NEILSON STREET,402212841
ADDRESS NUMBER OUT OF RANGE ,Queens,183-30,BOOTH MEMORIAL AVENUE,402238949
ADDRESS NUMBER OUT OF RANGE ,Manhattan,45,WEST 26 STREET,102880795
ADDRESS NUMBER OUT OF RANGE ,Queens,147,GENERAL BERRY ROAD,402387555
'COURTENAY LANE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Queens,5,COURTENAY LANE,402475406
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,265,8 STREET,301658114
ADDRESS NUMBER OUT OF RANGE ,Queens,149,BEACH 144 STREET,402508693
ADDRESS NUMBER OUT OF RANGE ,Queens,150-13,JEWELS ROAD,402629090
ADDRESS NUMBER OUT OF RANGE ,Queens,39-14,COLLEGE POINT BOULEVARD,402531621
ADDRESS NUMBER OUT OF RANGE ,Queens,150-17,JEWELS ROAD,402629107
ADDRESS NUMBER OUT OF RANGE ,Queens,32-02,ASTORIA BOULEVARD,402617129
ADDRESS NUMBER OUT OF RANGE ,Queens,150-22,JEWELS ROAD,402631498
THIS STREET HAS NO ADDRESSES ,Queens,3-34,WHITESTONE CIRCLE,402629562
ADDRESS NUMBER OUT OF RANGE ,Queens,90-02,SUTPHIN BOULEVARD,402672292
ADDRESS NUMBER OUT OF RANGE ,Queens,37-49,81 STREET,410006979
ADDRESS NUMBER OUT OF RANGE ,Queens,136-07,220 STREET,410064488
ADDRESS NUMBER OUT OF RANGE ,Staten Island,72,BROOKSIDE LOOP,500403583
ADDRESS NUMBER OUT OF RANGE ,Staten Island,52,BROOKSIDE LOOP,500403592
'ST JOHN''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Staten Island,206,ST JOHN''S AVENUE,500380508
ADDRESS NUMBER OUT OF RANGE ,Staten Island,25,HALL AVENUE,500405206
ADDRESS NUMBER OUT OF RANGE ,Staten Island,36,BROOKSIDE LOOP,500403565
ADDRESS NUMBER OUT OF RANGE ,Staten Island,709,RICHMOND ROAD,500417578
ADDRESS NUMBER OUT OF RANGE ,Manhattan,164,WEST 34 STREET,102939493
ADDRESS NUMBER OUT OF RANGE ,Manhattan,162,WEST 34 STREET,102939509
ADDRESS NUMBER OUT OF RANGE ,Manhattan,160,WEST 34 STREET,102939484
THIS STREET HAS NO ADDRESSES ,Staten Island,23,MARINO BLVD,500442014
ADDRESS NUMBER OUT OF RANGE ,Staten Island,3501,AMBOY ROAD,500447885
ADDRESS NUMBER OUT OF RANGE ,Staten Island,276,BEAR STREET,500461948
ADDRESS NUMBER OUT OF RANGE ,Staten Island,276,BEAR STREET,500461957
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1589,HYLAN BOULEVARD,500525586
ADDRESS NUMBER OUT OF RANGE ,Staten Island,147,RIDGEWOOD AVENUE,500473579
ADDRESS NUMBER OUT OF RANGE ,Staten Island,143,MAIN STREET,500490532
ADDRESS NUMBER OUT OF RANGE ,Staten Island,93,BURKE AVENUE,500594591
ADDRESS NUMBER OUT OF RANGE ,Staten Island,202,YETMAN AVENUE,500504126
ADDRESS NUMBER OUT OF RANGE ,Staten Island,26,GLENDALE AVENUE,500568986
ADDRESS NUMBER OUT OF RANGE ,Staten Island,372,WILSON AVENUE,500620214
ADDRESS NUMBER OUT OF RANGE ,Staten Island,516 1/2,BEDFORD AVENUE,500623550
ADDRESS NUMBER OUT OF RANGE ,Staten Island,34,PINE STREET,500585538
ADDRESS NUMBER OUT OF RANGE ,Staten Island,132,SEAVIEW AVENUE,500600539
ADDRESS NUMBER OUT OF RANGE ,Staten Island,100,HANOVER AVENUE,500597428
ADDRESS NUMBER OUT OF RANGE ,Staten Island,109,BADEN PLACE,500626502
ADDRESS NUMBER OUT OF RANGE ,Staten Island,264,LAKE AVENUE,500630392
ADDRESS NUMBER OUT OF RANGE ,Staten Island,30,RHETT AVENUE,500629750
ADDRESS NUMBER OUT OF RANGE ,Staten Island,22,SAVIN COURT,500639972
ADDRESS NUMBER OUT OF RANGE ,Staten Island,22,SAVIN COURT,500639981
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1064,HUGUENOT AVENUE,500658102
ADDRESS NUMBER OUT OF RANGE ,Staten Island,4906B,ARTHUR KILL ROAD,500659735
ADDRESS NUMBER OUT OF RANGE ,Staten Island,26,VAN WYCK AVENUE,500669323
ADDRESS NUMBER OUT OF RANGE ,Staten Island,77,GLOVER STREET,500667012
ADDRESS NUMBER OUT OF RANGE ,Staten Island,26,VAN WYCK AVENUE,500669332
ADDRESS NUMBER OUT OF RANGE ,Staten Island,842,IONIA AVENUE,500692538
ADDRESS NUMBER OUT OF RANGE ,Staten Island,3565,HYLAN BOULEVARD,500699871
ADDRESS NUMBER OUT OF RANGE ,Staten Island,224,TENNYSON DRIVE,500749737
ADDRESS NUMBER OUT OF RANGE ,Staten Island,198,EDGEWATER STREET,500783707
ADDRESS NUMBER OUT OF RANGE ,Staten Island,12,MILL ROAD,500801769
ADDRESS NUMBER OUT OF RANGE ,Staten Island,325,OLYMPIA BOULEVARD,500825468
ADDRESS NUMBER OUT OF RANGE ,Staten Island,325,OLYMPIA BOULEVARD,500825477
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1300,HUGUENOT AVENUE,500845767
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1268B,MASON AVENUE,500860678
ADDRESS NUMBER OUT OF RANGE ,Manhattan,184,ORCHARD STREET,104063013
ADDRESS NUMBER OUT OF RANGE ,Manhattan,686-700,1 AVENUE,104307359
ADDRESS NUMBER OUT OF RANGE ,Manhattan,153,EAST 85 STREET,104590015
ADDRESS NUMBER OUT OF RANGE ,Bronx,1516,OUTLOOK AVENUE,200655950
ADDRESS NUMBER OUT OF RANGE ,Bronx,2692,DR KAZIMIROFF BOULEVARD,200728766
ADDRESS NUMBER OUT OF RANGE ,Bronx,51,ANTIN PLACE,200864163
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,314,2 STREET,301190262
ADDRESS NUMBER OUT OF RANGE ,Manhattan,156,EAST 34 STREET,103139792
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2548,WEST 15 STREET,301651718
ADDRESS NUMBER OUT OF RANGE ,Manhattan,158,EAST 34 STREET,103139809
'ST JOHN''S PLACE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,532,ST JOHN''S PLACE,301907970
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,459,MAPLE STREET,301944476
ADDRESS NUMBER OUT OF RANGE ,Manhattan,304,EAST 55 STREET,103270069
ADDRESS NUMBER OUT OF RANGE ,Manhattan,216,EAST 19 STREET,103483776
ADDRESS NUMBER OUT OF RANGE ,Manhattan,348,WEST 42 STREET,103173156
ADDRESS NUMBER OUT OF RANGE ,Manhattan,218,EAST 19 STREET,103483794
ADDRESS NUMBER OUT OF RANGE ,Manhattan,616,1 AVENUE,103250544
ADDRESS NUMBER OUT OF RANGE ,Manhattan,616,1 AVENUE,103250553
ADDRESS NUMBER OUT OF RANGE ,Manhattan,616,1 AVENUE,103250535
ADDRESS NUMBER OUT OF RANGE ,Manhattan,306,EAST 55 STREET,103256566
ADDRESS NUMBER OUT OF RANGE ,Manhattan,259,WEST STREET,103320639
ADDRESS NUMBER OUT OF RANGE ,Bronx,3726,BLACKSTONE AVENUE,200739406
ADDRESS NUMBER OUT OF RANGE ,Manhattan,519,WEST 185 STREET,103440769
ADDRESS NUMBER OUT OF RANGE ,Bronx,268,ZEREGA AVENUE,200740895
ADDRESS NUMBER OUT OF RANGE ,Manhattan,169,CHARLES STREET,103465055
ADDRESS NUMBER OUT OF RANGE ,Manhattan,17,WASHINGTON TERRACE,103494489
ADDRESS NUMBER OUT OF RANGE ,Manhattan,18,WASHINGTON TERRACE,103494498
ADDRESS NUMBER OUT OF RANGE ,Bronx,274,ZEREGA AVENUE,200740868
ADDRESS NUMBER OUT OF RANGE ,Bronx,272,ZEREGA AVENUE,200740877
ADDRESS NUMBER OUT OF RANGE ,Bronx,262,ZEREGA AVENUE,200740920
ADDRESS NUMBER OUT OF RANGE ,Bronx,258,ZEREGA AVENUE,200740948
ADDRESS NUMBER OUT OF RANGE ,Bronx,256,ZEREGA AVENUE,200740957
ADDRESS NUMBER OUT OF RANGE ,Queens,173-04,UNION TURNPIKE,401882165
ADDRESS NUMBER OUT OF RANGE ,Manhattan,524,EAST 117 STREET,103591891
ADDRESS NUMBER OUT OF RANGE ,Manhattan,506,EAST 118 STREET,103591908
ADDRESS NUMBER OUT OF RANGE ,Manhattan,668,WEST 218 STREET,104284230
ADDRESS NUMBER OUT OF RANGE ,Manhattan,52,WEST 127 STREET,104040725
ADDRESS NUMBER OUT OF RANGE ,Manhattan,508,EAST 118 STREET,103628335
ADDRESS NUMBER OUT OF RANGE ,Manhattan,241,WEST 60 STREET,103639966
ADDRESS NUMBER OUT OF RANGE ,Manhattan,517,WEST 51 STREET,103674132
ADDRESS NUMBER OUT OF RANGE ,Manhattan,332,EAST 72 STREET,103699160
ADDRESS NUMBER OUT OF RANGE ,Manhattan,7,WEST 31 STREET,103709961
ADDRESS NUMBER OUT OF RANGE ,Manhattan,489,WASHINGTON STREET,103780776
ADDRESS NUMBER OUT OF RANGE ,Manhattan,2731,8 AVENUE,103866924
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2505,EAST 13 STREET,301012936
ADDRESS NUMBER OUT OF RANGE ,Bronx,294,BOLTON AVE,200755833
ADDRESS NUMBER OUT OF RANGE ,Manhattan,621,WEST 42 STREET,103868940
ADDRESS NUMBER OUT OF RANGE ,Bronx,292,BOLTON AVE,200755842
ADDRESS NUMBER OUT OF RANGE ,Bronx,296,BOLTON AVE,200755824
ADDRESS NUMBER OUT OF RANGE ,Manhattan,205,EAST 57 STREET,103939758
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2203,BERGEN AVENUE,301000789
ADDRESS NUMBER OUT OF RANGE ,Manhattan,452,WEST 13 STREET,103995232
ADDRESS NUMBER OUT OF RANGE ,Manhattan,143,LEXINGTON AVENUE,104005942
ADDRESS NUMBER OUT OF RANGE ,Manhattan,438-450,WEST 13 STREET,104010286
ADDRESS NUMBER OUT OF RANGE ,Manhattan,21,THAMES STREET,104082207
ADDRESS NUMBER OUT OF RANGE ,Manhattan,528-534,EAST 119 STREET,104012765
ADDRESS NUMBER OUT OF RANGE ,Manhattan,844,WASHINGTON STREET,104042849
ADDRESS NUMBER OUT OF RANGE ,Manhattan,110,EAST 12 STREET,104058172
ADDRESS NUMBER OUT OF RANGE ,Manhattan,401,EAST 71 STREET,104369309
ADDRESS NUMBER OUT OF RANGE ,Manhattan,176,ORCHARD STREET,104063031
ADDRESS NUMBER OUT OF RANGE ,Manhattan,182,ORCHARD STREET,104063022
ADDRESS NUMBER OUT OF RANGE ,Manhattan,7,WEST 31 STREET,103720270
ADDRESS NUMBER OUT OF RANGE ,Manhattan,101,WEST 42 STREET,103734791
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2505,EAST 13 STREET,301012927
ADDRESS NUMBER OUT OF RANGE ,Manhattan,254,EAST 49 STREET,104087514
ADDRESS NUMBER OUT OF RANGE ,Manhattan,252,EAST 49 STREET,104087505
ADDRESS NUMBER OUT OF RANGE ,Manhattan,401,EAST 8 STREET,104087541
ADDRESS NUMBER OUT OF RANGE ,Manhattan,181,FORT WASHINGTON AVENUE,104142982
ADDRESS NUMBER OUT OF RANGE ,Manhattan,1959 1/2,MADISON AVENUE,104186177
ADDRESS NUMBER OUT OF RANGE ,Manhattan,159,8 AVENUE,104170022
ADDRESS NUMBER OUT OF RANGE ,Manhattan,514,EAST 117 STREET,104175116
ADDRESS NUMBER OUT OF RANGE ,Manhattan,158,MADISON AVENUE,104178284
ADDRESS NUMBER OUT OF RANGE ,Staten Island,86,IRVING PLACE,500857842
ADDRESS NUMBER OUT OF RANGE ,Staten Island,281,OAKDALE STREET,500866057
ADDRESS NUMBER OUT OF RANGE ,Staten Island,55,ANDROVETTE STREET,510006814
ADDRESS NUMBER OUT OF RANGE ,Manhattan,520,EAST 117 STREET,104251783
ADDRESS NUMBER OUT OF RANGE ,Bronx,4459,WHITE PLAINS ROAD,210039028
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2219,EAST 3 STREET,301018495
ADDRESS NUMBER OUT OF RANGE ,Staten Island,25,MARBLE LOOP,510034393
ADDRESS NUMBER OUT OF RANGE ,Manhattan,511,EAST 116 STREET,104279790
ADDRESS NUMBER OUT OF RANGE ,Manhattan,871,SIXTH AVENUE,104738303
ADDRESS NUMBER OUT OF RANGE ,Bronx,2843,TIEMANN AVE,210063777
ADDRESS NUMBER OUT OF RANGE ,Manhattan,865,SIXTH AVENUE,104738312
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1173,BAY STREET,510057028
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1175,BAY STREET,510057046
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,364,ST MARK''S AVENUE,301818308
ADDRESS NUMBER OUT OF RANGE ,Bronx,3268,WESTCHESTER AVENUE,210085478
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,193,BRIDGE STREET,301817416
'ST MARK''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Brooklyn,364,ST MARK''S AVENUE,301818317
ADDRESS NUMBER OUT OF RANGE ,Bronx,1411,LONGFELLOW AVENUE,210075434
ADDRESS NUMBER OUT OF RANGE ,Bronx,3476,EASTCHESTER ROAD,200770175
ADDRESS NUMBER OUT OF RANGE ,Staten Island,78,STARBUCK STREET,510067099
ADDRESS NUMBER OUT OF RANGE ,Bronx,1241,VIRGINIA AVE,210118503
ADDRESS NUMBER OUT OF RANGE ,Staten Island,83,BURGUNDY LOOP,510070959
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,2611,WEST 20 STREET,301030701
ADDRESS NUMBER OUT OF RANGE ,Manhattan,1001,2 AVENUE,104301480
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1729,OCEAN AVENUE,301823604
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,1729,OCEAN AVENUE,301823597
ADDRESS NUMBER OUT OF RANGE ,Staten Island,5204,HYLAN BOULEVARD,520010531
ADDRESS NUMBER OUT OF RANGE ,Staten Island,1437,RICHMOND AVENUE,520018365
ADDRESS NUMBER OUT OF RANGE ,Staten Island,486,ST. PAULS AVENUE,520019257
ADDRESS NUMBER OUT OF RANGE ,Bronx,1925,MORRIS AVENUE,220033595
ADDRESS NUMBER OUT OF RANGE ,Bronx,246,HOSMER AVENUE,200661033
ADDRESS NUMBER OUT OF RANGE ,Manhattan,49,EAST 131 STREET,104326622
ADDRESS NUMBER OUT OF RANGE ,Bronx,1541,HARDING PARK,200774938
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,481,DEAN STREET,320177946
ADDRESS NUMBER OUT OF RANGE ,Manhattan,700,1 AVENUE,104334150
ADDRESS NUMBER OUT OF RANGE ,Queens,28-11,20 AVENUE,420205600
ADDRESS NUMBER OUT OF RANGE ,Bronx,2843,TIEMANN AVE,220086298
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,540,VANDERBILT AVENUE,320226661
ADDRESS NUMBER OUT OF RANGE ,Staten Island,103,PEARL STREET,520062887
'HUNTINGTON' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Bronx,280,HUNTINGTON,220169127
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,175,TAYLOR STREET,301075351
ADDRESS NUMBER OUT OF RANGE ,Manhattan,147,EAST 85 STREET,104381660
ADDRESS NUMBER OUT OF RANGE ,Manhattan,151,WEST 11TH STREET,121100986
ADDRESS NUMBER OUT OF RANGE ,Bronx,745,EAST 133RD STREET,220247668
ADDRESS NUMBER OUT OF RANGE ,Staten Island,108,PEARL STREET,520128610
'ST. PETER''S AVENUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Bronx,1469,ST. PETER''S AVENUE,220323941
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,510,MANHATTAN AVENUE,301963944
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,218,PARKVILLE AVENUE,320845449
ADDRESS NUMBER OUT OF RANGE ,Bronx,4729,PARK AVE.,220339694
ADDRESS NUMBER OUT OF RANGE ,Bronx,433,EAST 153 STREET,220333100
ADDRESS NUMBER OUT OF RANGE ,Bronx,2912,TENBROECK AVENUE,200801757
ADDRESS NUMBER OUT OF RANGE ,Manhattan,451,WEST 37 STREET,104437904
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,752,BEDFORD AVE,320914070
ADDRESS NUMBER OUT OF RANGE ,Manhattan,49,WEST 46 STREET,104440320
ADDRESS NUMBER OUT OF RANGE ,Manhattan,22,EAST 33 STREET,104927545
ADDRESS NUMBER OUT OF RANGE ,Queens,210-06,48 AVENUE,420988658
ADDRESS NUMBER OUT OF RANGE ,Manhattan,1512,2 AVENUE,104446226
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,229,BAY 7 STREET,302030371
ADDRESS NUMBER OUT OF RANGE ,Brooklyn,229,BAY 7 STREET,302030380
ADDRESS NUMBER OUT OF RANGE ,Bronx,23,FEATHERBED LANE,200812264
ADDRESS NUMBER OUT OF RANGE ,Bronx,21,FEATHERBED LANE,200812255
ADDRESS NUMBER OUT OF RANGE ,Bronx,2191,NEW ENGLAND THRUWAY,200812175
ADDRESS NUMBER OUT OF RANGE ,Staten Island,831,ARTHUR KILL ROAD,520238172
ADDRESS NUMBER OUT OF RANGE ,Staten Island,326 G,ROBINSON AVENUE,520219718
ADDRESS NUMBER OUT OF RANGE ,Manhattan,317,EAST 46 STREET,104627165
ADDRESS NUMBER OUT OF RANGE ,Manhattan,760-766,COLUMBUS AVENUE,104493371
ADDRESS NUMBER OUT OF RANGE ,Queens,150-42,SULLIVAN DRIVE,421304939
ADDRESS NUMBER OUT OF RANGE ,Manhattan,47,WEST 46 STREET,104501102
ADDRESS NUMBER OUT OF RANGE ,Queens,152-26,UNION TURNPIKE,421331106
ADDRESS NUMBER OUT OF RANGE ,Manhattan,806-818,COLUMBUS AVENUE,104539894
ADDRESS NUMBER OUT OF RANGE ,Bronx,1496,BLONDELL AVENUE,200990302
ADDRESS NUMBER OUT OF RANGE ,Bronx,1496,BLONDELL AVENUE,200990311
ADDRESS NUMBER OUT OF RANGE ,Manhattan,798-804,COLUMBUS AVENUE,104539901
ADDRESS NUMBER OUT OF RANGE ,Manhattan,335,EAST 91 STREET,104563401
ADDRESS NUMBER OUT OF RANGE ,Manhattan,917,2 AVENUE,104614142
ADDRESS NUMBER OUT OF RANGE ,Manhattan,267,WEST 153 STREET,104540276
ADDRESS NUMBER OUT OF RANGE ,Manhattan,194,11 AVENUE,104540383
ADDRESS NUMBER OUT OF RANGE ,Manhattan,52,WEST 47 STREET,104542942
ADDRESS NUMBER OUT OF RANGE ,Manhattan,178,EAST 93 STREET,104575817
ADDRESS NUMBER OUT OF RANGE ,Manhattan,37,WEST 56 STREET,104608621
ADDRESS NUMBER OUT OF RANGE ,Manhattan,313,EAST 46 STREET,104627147
ADDRESS NUMBER OUT OF RANGE ,Manhattan,411,WEST 20 STREET,104644547
ADDRESS NUMBER OUT OF RANGE ,Bronx,3,SAMANTHA WAY,200850953
ADDRESS NUMBER OUT OF RANGE ,Bronx,1,SAMANTHA WAY,200850971
THIS STREET HAS NO ADDRESSES ,Bronx,3403,BRUCKNER EXPRESSWAY,200909776
ADDRESS NUMBER OUT OF RANGE ,Manhattan,531,WEST END AVENUE,104790433
ADDRESS NUMBER OUT OF RANGE ,Bronx,2529,GRAND AVENUE,200850329
ADDRESS NUMBER OUT OF RANGE ,Bronx,2829,HARDING AVENUE,200850347
ADDRESS NUMBER OUT OF RANGE ,Manhattan,766,11 AVENUE,104809735
ADDRESS NUMBER OUT OF RANGE ,Manhattan,204,WEST 100 STREET,104849461
ADDRESS NUMBER OUT OF RANGE ,Manhattan,327,WEST BROADWAY,104936937
ADDRESS NUMBER OUT OF RANGE ,Bronx,192,BAYCHESTER AVE,200616832
ADDRESS NUMBER OUT OF RANGE ,Manhattan,859,6 AVENUE,104905667
ADDRESS NUMBER OUT OF RANGE ,Manhattan,43,BOND STREET,104935554
ADDRESS NUMBER OUT OF RANGE ,Bronx,359,EAST 161 STREET,200654050
THIS STREET HAS NO ADDRESSES ,Bronx,3407,BRUCKNER EXPRESSWAY,200909794
ADDRESS NUMBER OUT OF RANGE ,Bronx,886,COURTLANDT AVENUE,200654041
ADDRESS NUMBER OUT OF RANGE ,Bronx,190,BAYCHESTER AVENUE,200615717
'MADISON AVNEUE' NOT RECOGNIZED. THERE ARE 010 SIMILAR NAMES. ,Manhattan,176,MADISON AVNEUE,110080787
ADDRESS NUMBER OUT OF RANGE ,Manhattan,91,CHAMBERS STREET,110090204
ADDRESS NUMBER OUT OF RANGE ,Bronx,1817,PALISADE PLACE,201061144
ADDRESS NUMBER OUT OF RANGE ,Bronx,5220,FIELDSTON ROAD,200623183
ADDRESS NUMBER OUT OF RANGE ,Bronx,1451,LONGFELLOW AVENUE,200628767
ADDRESS NUMBER OUT OF RANGE ,Bronx,230,EAST 162 STREET,200632565
ADDRESS NUMBER OUT OF RANGE ,Bronx,403,EAST 163 STREET,200633341
ADDRESS NUMBER OUT OF RANGE ,Bronx,1045,HAZEN STREET,200642741
ADDRESS NUMBER OUT OF RANGE ,Bronx,897,MORRIS AVENUE,200643465
ADDRESS NUMBER OUT OF RANGE ,Bronx,2307,SOUTHERN BOULEVARD,200651188
ADDRESS NUMBER OUT OF RANGE ,Bronx,888,COURTLANDT AVENUE,200654032
ADDRESS NUMBER OUT OF RANGE ,Bronx,619,KING AVENUE,200653872
ADDRESS NUMBER OUT OF RANGE ,Bronx,906,GRANT AVENUE,200676241
ADDRESS NUMBER OUT OF RANGE ,Bronx,1516,OUTLOOK AVENUE,200655941
ADDRESS NUMBER OUT OF RANGE ,Bronx,2059,ELLIS AVENUE,200660980
ADDRESS NUMBER OUT OF RANGE ,Bronx,2059,ELLIS AVENUE,200660999
